trade_date,wind_code,open,high,low,close,volume,amt
2026-04-24,801080.SI,7744.87,7812.53,7636.86,7738.79,12893430000,595113000000
2026-04-27,801080.SI,7829.51,8045.10,7827.96,8009.18,13938890000,630855800000
2026-04-28,801080.SI,7979.49,8059.72,7857.23,7909.62,14145510000,588442760000
2026-04-29,801080.SI,7813.66,7948.05,7722.10,7933.69,12504430000,557147060000
2026-04-30,801080.SI,7997.68,8144.34,7931.51,8108.69,13604280000,632130850000
2026-05-06,801080.SI,8341.15,8581.84,8341.15,8427.17,16189330000,797574020000
2026-05-07,801080.SI,8476.72,8667.34,8404.72,8657.90,16016990000,728990090000
2026-05-08,801080.SI,8521.26,8609.34,8489.58,8597.90,15473310000,665797540000
2026-05-11,801080.SI,8809.90,9046.42,8775.31,9005.00,18184000000,869521820000
2026-05-12,801080.SI,9012.94,9058.02,8887.37,9017.64,16223600000,777468600000
2026-05-13,801080.SI,8844.74,9329.68,8844.74,9327.77,16771280000,819379600000
2026-05-14,801080.SI,9407.10,9407.10,9104.29,9104.29,18175310000,859918890000
2026-05-15,801080.SI,9128.68,9296.15,8829.05,9002.21,18517470000,891694410000
2026-05-18,801080.SI,8982.28,9240.83,8982.28,9143.04,15898850000,777980890000
2026-05-19,801080.SI,9050.91,9349.31,8867.48,9347.00,15909360000,784679120000
2026-05-20,801080.SI,9306.80,9552.04,9306.80,9549.89,16579780000,853744490000
2026-05-21,801080.SI,9705.24,9798.54,9174.59,9197.43,23638750000,1029670080000
2026-05-22,801080.SI,9343.53,9598.79,9284.84,9592.34,24901210000,895902250000
2026-05-25,801080.SI,9693.23,10052.76,9618.76,10051.80,23652950000,1047825150000
2026-05-26,801080.SI,9983.69,10010.40,9750.94,9973.32,25421420000,1033429000000
2026-05-27,801080.SI,10014.64,10221.47,9777.47,9832.50,26991640000,1084836330000
2026-05-28,801080.SI,9763.99,10031.53,9714.95,10003.06,22971170000,955098390000
2026-05-29,801080.SI,10084.58,10084.58,9468.70,9558.91,24843770000,1019472170000
2026-06-01,801080.SI,9560.31,9619.51,9153.03,9159.93,20761670000,862554380000
2026-06-02,801080.SI,9196.41,9490.49,9030.60,9400.14,19587570000,811399910000
2026-06-03,801080.SI,9457.61,9866.30,9457.61,9615.97,24719410000,999910620000
2026-06-04,801080.SI,9463.95,9893.01,9463.95,9833.77,21823300000,866890610000
2026-06-05,801080.SI,9646.74,9810.37,9432.42,9480.93,26402490000,924126790000
2026-06-08,801080.SI,8982.53,9340.12,8982.51,9070.17,22207360000,783398210000
2026-06-09,801080.SI,9272.91,9569.63,9162.42,9565.15,20604590000,777209010000
2026-06-10,801080.SI,9449.73,9638.42,9231.72,9351.84,19407400000,764451760000
2026-06-11,801080.SI,9315.54,9485.48,9271.70,9406.83,18544450000,739687580000
2026-06-12,801080.SI,9743.65,9743.65,9283.68,9303.78,21326220000,947680760000
2026-06-15,801080.SI,9473.03,9915.82,9327.76,9915.82,19656300000,857105130000
2026-06-16,801080.SI,9971.33,10196.06,9967.08,10132.42,20504770000,904729470000
2026-06-17,801080.SI,10008.14,10608.41,10008.14,10608.41,21977290000,1018718260000
2026-06-18,801080.SI,10597.76,11017.49,10597.76,10930.66,23590620000,1090592310000
2026-06-22,801080.SI,11069.08,11220.07,10769.70,11125.16,23337390000,1139268410000
