trade_date,wind_code,open,high,low,close,volume,amt
2026-02-24,801010.SI,2874.80,2886.50,2869.56,2881.18,2234850000,20580020000
2026-02-25,801010.SI,2883.02,2923.96,2883.01,2913.32,2520720000,21829090000
2026-02-26,801010.SI,2927.82,2948.11,2906.78,2912.65,2377150000,21929470000
2026-02-27,801010.SI,2909.60,2974.44,2909.60,2972.60,3042990000,29203480000
2026-03-02,801010.SI,2949.54,2994.36,2945.84,2961.50,3453190000,32756960000
2026-03-03,801010.SI,2958.75,3002.32,2947.20,2949.34,4708310000,42091660000
2026-03-04,801010.SI,2940.01,2987.50,2940.01,2987.50,4792580000,44009960000
2026-03-05,801010.SI,2981.05,2981.05,2918.32,2927.11,4215740000,36680940000
2026-03-06,801010.SI,2918.45,3037.31,2918.45,3035.73,4313710000,39092080000
2026-03-09,801010.SI,3051.28,3089.30,3039.09,3042.35,4630200000,44308140000
2026-03-10,801010.SI,3020.09,3056.95,3020.09,3031.88,3299060000,29936250000
2026-03-11,801010.SI,3029.01,3059.86,3017.57,3054.27,2796450000,25516000000
2026-03-12,801010.SI,3062.32,3098.87,3030.51,3094.50,3605910000,31992520000
2026-03-13,801010.SI,3093.75,3100.11,3059.57,3066.53,3348070000,29933000000
2026-03-16,801010.SI,3074.16,3131.64,3074.16,3088.05,3952850000,35119190000
2026-03-17,801010.SI,3074.87,3114.02,3036.47,3036.47,3331260000,29823830000
2026-03-18,801010.SI,3036.17,3037.44,2995.57,3016.20,2624040000,22783270000
2026-03-19,801010.SI,3010.33,3011.73,2948.00,2957.33,2484980000,22643000000
2026-03-20,801010.SI,2959.80,2982.06,2920.26,2928.56,2491130000,22310790000
2026-03-23,801010.SI,2885.88,2885.88,2753.29,2765.76,3439590000,30805880000
2026-03-24,801010.SI,2790.89,2790.89,2721.04,2778.67,2393960000,22603580000
2026-03-25,801010.SI,2776.44,2823.20,2776.44,2822.68,2234810000,19921620000
2026-03-26,801010.SI,2819.96,2838.66,2786.34,2791.76,2097910000,18735840000
2026-03-27,801010.SI,2771.23,2846.68,2771.23,2842.41,2147460000,19484620000
2026-03-30,801010.SI,2819.77,2869.50,2819.77,2847.46,2962480000,28873960000
2026-03-31,801010.SI,2846.69,2846.69,2791.67,2791.67,2748960000,27366330000
2026-04-01,801010.SI,2816.47,2816.47,2784.73,2801.79,2138230000,21744690000
2026-04-02,801010.SI,2800.79,2874.09,2800.79,2844.59,2527620000,26105950000
2026-04-03,801010.SI,2831.70,2831.70,2758.66,2763.68,2282440000,21189760000
2026-04-07,801010.SI,2765.93,2849.05,2744.30,2815.83,2517710000,24002400000
2026-04-08,801010.SI,2820.08,2859.00,2820.08,2859.00,2479250000,23929810000
2026-04-09,801010.SI,2843.09,2854.92,2811.93,2822.51,1992920000,19169280000
2026-04-10,801010.SI,2829.34,2829.34,2800.23,2802.33,2019860000,20877130000
2026-04-13,801010.SI,2806.63,2847.96,2796.09,2833.53,2414450000,23098670000
2026-04-14,801010.SI,2832.15,2890.85,2813.74,2890.11,3245490000,26804770000
2026-04-15,801010.SI,2885.63,2903.18,2863.45,2898.10,3196720000,25957070000
2026-04-16,801010.SI,2896.28,2908.90,2868.61,2904.92,2767090000,22167800000
2026-04-17,801010.SI,2894.03,2894.03,2862.28,2869.77,2408720000,19709800000
2026-04-20,801010.SI,2889.30,2895.01,2864.46,2875.53,2464030000,21262160000
2026-04-21,801010.SI,2871.50,2885.80,2854.99,2869.04,2280250000,20248890000
2026-04-22,801010.SI,2858.37,2902.59,2845.31,2853.92,2612670000,23089460000
2026-04-23,801010.SI,2838.55,2839.03,2793.53,2809.66,2433870000,22096820000
2026-04-24,801010.SI,2799.14,2800.53,2771.23,2779.36,2343790000,20239880000
2026-04-27,801010.SI,2767.14,2767.14,2738.17,2754.51,2116050000,19246060000
2026-04-28,801010.SI,2748.11,2776.52,2735.71,2774.23,2310430000,20957330000
2026-04-29,801010.SI,2769.23,2852.97,2769.19,2828.24,2904610000,25357840000
2026-04-30,801010.SI,2815.96,2872.73,2815.95,2853.00,2665680000,22479640000
2026-05-06,801010.SI,2853.17,2865.15,2844.63,2863.52,2622160000,23431710000
2026-05-07,801010.SI,2857.44,2870.38,2826.57,2839.06,2480880000,22079160000
2026-05-08,801010.SI,2842.53,2854.28,2821.93,2825.31,2088510000,19660250000
2026-05-11,801010.SI,2833.19,2857.88,2816.30,2842.85,2879920000,26034780000
2026-05-12,801010.SI,2840.15,2840.15,2769.77,2775.69,2657490000,23979460000
2026-05-13,801010.SI,2776.69,2778.54,2754.84,2770.43,2371600000,23147980000
2026-05-14,801010.SI,2777.88,2805.08,2760.01,2766.32,3022200000,27533420000
2026-05-15,801010.SI,2760.93,2763.38,2724.58,2737.43,2666830000,22953600000
2026-05-18,801010.SI,2728.07,2728.07,2659.85,2676.16,2258360000,20969380000
2026-05-19,801010.SI,2681.37,2688.65,2635.44,2671.09,1923740000,16675460000
2026-05-20,801010.SI,2659.28,2665.72,2627.33,2636.34,1814350000,15440670000
2026-05-21,801010.SI,2639.36,2661.51,2580.75,2582.17,2041490000,17335970000
